song,artist1,artist2,song_netease,artist_netease,mood_netease,spotify-id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_origin_1,artist_origin_2,artist_type_1,artist_type_2,artist_era_1,genre_1,genre_2,genre_3,mood_1,mood_2,tempo_1,tempo_2,tempo_3
无常,王菲,Faye Wong,,,,0jtSFAf3BJP0QX0VJU1Luo,0.546,0.409,9,-11.614,1,0.0258,0.253,3.23e-06,0.279,0.621,92.035,156667,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Slow',b'40s'
浮躁,王菲,Faye Wong,,,,4lzrWjF6IgJr659sQteyyM,0.543,0.48,4,-12.56,1,0.0289,0.0825,0.105,0.302,0.38,142.06,183093,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Very Slow',b'30s'
将爱,王菲,Faye Wong,,,,1hLYtl2oWocxPGSDsmsgKN,0.596,0.626,10,-9.357,0,0.0366,0.0016,0.00469,0.118,0.155,122.998,248547,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Brooding',b'Alienated / Brooding',b'Medium Tempo',b'Medium Fast',b'120s'
誓言,王菲,Faye Wong,誓言,王菲,感动,2ACgdziysdvHdoc4N2LvH2,0.66,0.457,5,-11.689,1,0.0263,0.119,0,0.301,0.61,108.163,261507,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sensual',b'Sensual Groove',b'Medium Tempo',b'Medium Slow',b'50s'
你喜欢不如我喜欢,王菲,Faye Wong,你喜欢不如我喜欢,王菲,怀旧,5b5NEs7z41wrxeLfj9WsLI,0.623,0.48,7,-10.161,1,0.0324,0.512,6.82e-06,0.161,0.55,135.958,242493,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'60s'
打错了,王菲,Faye Wong,,,,6E37CC0xg0uTD7yE5yoDaT,0.64,0.672,10,-6.553,1,0.0455,0.556,5.62e-06,0.103,0.894,120.029,192000,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sophisticated',b'Smoky / Romantic',b'Medium Tempo',b'Medium Slow',b'60s'
季候风,王菲,Faye Wong,季候风,王菲,怀旧,3AeYWZJWC57oQJvUrvH885,0.579,0.424,2,-10.006,1,0.0329,0.267,0,0.325,0.211,133.678,276173,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'60s'
清平调-独唱版,王菲,Faye Wong,,,,4GY0O0FTuDVdbzeutAYMzp,0.384,0.312,11,-10.979,1,0.0296,0.797,0.000254,0.127,0.199,74.059,269092,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',,,,,
迷魂记-广东版,王菲,Faye Wong,迷魂记,王菲,性感,4FJHYzYff7FCmOohPXNsID,0.49,0.482,5,-8.08,1,0.0289,0.705,1.28e-05,0.106,0.2,135.88,249133,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'60s'
开到荼蘼,王菲,Faye Wong,开到荼蘼,王菲,兴奋/孤独,6RR7OXj4hLRV2T0hc7la0w,0.604,0.728,10,-4.94,0,0.0291,0.0722,3.87e-05,0.0908,0.487,133.969,312627,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Urgent',b'Energetic Anxious',b'Fast Tempo',b'Fast',b'130s'
当时的月亮,王菲,Faye Wong,当时的月亮,王菲,伤感,1swrpH455dVgN603huJl0J,0.284,0.273,3,-12.115,1,0.0328,0.498,0.000248,0.106,0.139,143.084,231640,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Medium Tempo',b'Medium',b'70s'
致青春,王菲,Faye Wong,致青春,王菲,伤感/浪漫,2n9r8QHPfShvUfoN1uDoVc,0.49,0.194,0,-14.614,0,0.0313,0.948,0.000514,0.106,0.187,105.877,193585,3,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Melancholy',b'Wistful / Forlorn',b'Medium Tempo',b'Medium Slow',b'50s'
守望麦田-百年孤寂 广东版,王菲,Faye Wong,守望麦田,王菲,怀旧/治愈,6TVI643HVV2TaG9odBWiwV,0.52,0.739,0,-5.311,1,0.0377,0.0132,0,0.113,0.298,149.956,318640,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Urgent',b'Energetic Anxious',b'Fast Tempo',b'Fast',b'150s'
流年,王菲,Faye Wong,流年,王菲,伤感/怀旧,7wL87unK7Vi96HM0I5vgB0,0.617,0.553,10,-8.072,0,0.027,0.591,2.81e-05,0.237,0.206,111.92,276973,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sophisticated',b'Smoky / Romantic',b'Medium Tempo',b'Medium Slow',b'50s'
我也不想这样,王菲,Faye Wong,我也不想这样,王菲,怀旧/治愈,5sMZlRUU91bJsiKp3AWn5H,0.648,0.322,0,-12.927,1,0.0307,0.474,0.00406,0.276,0.27,103.065,296933,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium Slow',b'50s'
天空,王菲,Faye Wong,天空,王菲,怀旧/放松,0htep22LKT8dBKM89oKBYT,0.39,0.253,4,-13.008,1,0.034,0.592,9.07e-05,0.101,0.0753,148.024,259040,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Very Slow',b'30s'
执迷不悔,王菲,Faye Wong,执迷不悔,王菲,伤感/怀旧,3r71uMtjjqGXGIaTcBgDBp,0.624,0.422,10,-8.742,1,0.0321,0.588,0,0.131,0.134,139.866,273840,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium Slow',b'60s'
容易受伤的女人（国语）,王菲,Faye Wong,,,,714uPCrFLIHpr9LcjQRFho,0.597,0.276,9,-11.415,0,0.0346,0.819,2.65e-06,0.205,0.247,132.185,257933,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',,,,,
但愿人长久,王菲,Faye Wong,但愿人长久,王菲,思念/浪漫,12yVeepFYqv2z9UHHR2Rly,0.33,0.244,4,-11.827,1,0.032,0.809,6.51e-06,0.301,0.336,176.611,258717,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Sweet / Sincere',b'Slow Tempo',b'Slow',b'40s'
棋子,王菲,Faye Wong,棋子,王菲,伤感/兴奋,4iOeNGGUNms7gNViydA70S,0.455,0.304,1,-12.719,0,0.0306,0.83,3.62e-05,0.175,0.233,131.842,286947,3,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Slow',b'40s'
你快乐所以我快乐,王菲,Faye Wong,你快乐所以我快乐 (Live),王菲,怀旧,31kKBUeeCGuMt9fPxDybde,0.676,0.307,8,-12.919,0,0.0279,0.51,0.00284,0.123,0.163,110.857,258427,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Brooding',b'Evocative / Intriguing',b'Medium Tempo',b'Medium Slow',b'50s'
我愿意,王菲,Faye Wong,我愿意,王菲,伤感,0tlDH6UX4Bq9kG5rPWaiaF,0.275,0.306,2,-9.448,1,0.0334,0.939,0.00116,0.111,0.168,117.513,270667,3,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Very Slow',b'30s'
旋木,王菲,Faye Wong,旋木,王菲,怀旧,0YNBZKmzePAF350mY8QQ8M,0.635,0.179,2,-18.415,1,0.0416,0.91,0,0.379,0.566,121.874,253120,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Melancholy',b'Wistful / Forlorn',b'Medium Tempo',b'Medium Slow',b'60s'
爱与痛的边缘,王菲,Faye Wong,爱与痛的边缘,王菲,伤感/怀旧/感动,4XafCNKCV3FnQUoel6NrRK,0.62,0.411,5,-11.425,0,0.0288,0.514,1.83e-06,0.199,0.534,113.29,273773,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium Slow',b'60s'
Eyes On Me,王菲,Faye Wong,,,,5VIxFiO4uCfA6BZFObyz7W,0.305,0.517,0,-6.474,1,0.0354,0.106,0,0.0614,0.201,179.638,344027,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Slow',b'40s'
矜持,王菲,Faye Wong,矜持,王菲,伤感/孤独,48CnX8v6OD9kqmeTIaLS1k,0.319,0.205,4,-14.326,1,0.0383,0.683,9.65e-05,0.114,0.196,138.493,277987,3,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Very Slow',b'30s'
给自己的情书,王菲,Faye Wong,给自己的情书,王菲,怀旧,3uun1e8SPD4GjWsIwwu8ai,0.554,0.326,9,-10.702,0,0.0361,0.902,1.39e-05,0.129,0.251,125.844,267827,3,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Slow',b'40s'
只爱陌生人,王菲,Faye Wong,只爱陌生人,王菲,兴奋,24OhdN96UXrdpQAbDqlamt,0.642,0.51,4,-11.561,0,0.0291,0.82,0.168,0.161,0.718,99.003,221867,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sensual',b'Dreamy Pulse',b'Slow Tempo',b'Slow',b'40s'
半途而废,王菲,Faye Wong,,,,0vgddc2PMdYzzy5bPAx1BD,0.566,0.453,5,-10.649,1,0.0339,0.00911,6.51e-05,0.223,0.45,149.936,213000,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'70s'
白痴,王菲,Faye Wong,白痴,王菲,怀旧,6T1oX5IUSibE50GQ9cZ0Rw,0.355,0.749,7,-5.479,0,0.0442,0.00875,0,0.0842,0.319,84.928,272293,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Defiant',b'Heavy Brooding',b'Medium Tempo',b'Medium',b'80s'
怀念,王菲,Faye Wong,怀念,王菲,怀旧/思念,1kgyjwJ5RIBOexuXneIqQk,0.53,0.167,0,-15.158,1,0.0402,0.918,1.98e-05,0.109,0.588,180.229,200893,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Melancholy',b'Light Melancholy',b'Slow Tempo',b'Slow',b'40s'
扑火,王菲,Faye Wong,扑火,王菲,治愈,527UhcGYEXCbE139EneaEi,0.465,0.364,7,-10.365,0,0.0296,0.0865,1.32e-05,0.089,0.18,148.006,255440,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Very Slow',b'30s'
脸,王菲,Faye Wong,脸,王菲,怀旧,5esuh9AKX1v8BvaM9DbSef,0.328,0.423,4,-9.215,1,0.031,0.376,0.000129,0.104,0.088,131.96,214400,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'60s'
推翻,王菲,Faye Wong,,,,5qtxPExdsKAhERhpGTySwL,0.622,0.162,0,-13.772,1,0.0347,0.895,0,0.111,0.222,89.874,263400,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sentimental',b'Tender / Sincere',b'Slow Tempo',b'Slow',b'40s'
催眠,王菲,Faye Wong,催眠,王菲,孤独/怀旧,57tTRdaPO42IIA0EESYSLr,0.405,0.681,5,-6.877,1,0.0298,0.178,0,0.375,0.684,185.898,266560,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Upbeat',b'Happy / Soulful',b'Medium Tempo',b'Medium Fast',b'90s'
彼岸花,王菲,Faye Wong,彼岸花,王菲,性感/浪漫,7kg92haFCqqgexbydYviqU,0.478,0.49,3,-10.1,1,0.0251,0.0682,0.817,0.0953,0.149,96.018,316693,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Slow',b'40s'
不变,王菲,Faye Wong,,,,4pp3H1juhrzNqvkCAXDjNh,0.296,0.333,4,-11.54,1,0.0332,0.447,0.000292,0.152,0.209,111.954,285559,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Medium Tempo',b'Medium Slow',b'50s'
天使,王菲,Faye Wong,天使,王菲,怀旧,2wSDpRiaWmLTzMXv4Jt0YX,0.335,0.61,7,-9.723,1,0.0333,0.269,0.0141,0.186,0.592,99.775,263120,4,b'Asia',b'China',b'Female',b'Female',b'1990s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Yearning',b'Energetic Yearning',b'Medium Tempo',b'Medium Fast',b'90s'
BECAUSE OF LOVE因为爱情,陈奕迅，王菲,"Eason Chan, Faye Wong",因为爱情,王菲/陈奕迅,伤感/怀旧,2ssdzXgezIior0cJFNU178,0.413,0.205,5,-11.245,1,0.0316,0.858,0,0.104,0.297,175.942,216893,4,b'Asia',b'China',b'Male',b'Male',b'2010s',b'Pop',b'Chinese Pop',b'Canto-Pop',b'Fiery',b'Fiery Groove',b'Medium Tempo',b'Medium Fast',b'110s'
彩虹金刚,孙燕姿,Stefanie Sun,彩虹金刚,孙燕姿,快乐/怀旧,6BiVN5GImrnnVcd4SMOjES,0.626,0.604,0,-7.096,1,0.142,0.715,0,0.724,0.611,149.984,240000,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sensual',b'Soft Soulful',b'Slow Tempo',b'Very Slow',b'30s'
克卜勒,孙燕姿,Stefanie Sun,克卜勒,孙燕姿,伤感/怀旧,15tD731GK0VYsmd1Im4C7q,0.52,0.485,0,-7.679,1,0.0378,0.531,1.05e-06,0.138,0.272,132.089,249023,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Very Slow',b'30s'
In The Beginning,孙燕姿,Stefanie Sun,,,,7mKt0FeSGX79wL0ca1OPVb,0.154,0.104,0,-20.497,1,0.0352,0.914,0.866,0.101,0.0547,97.416,59800,3,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Peaceful',b'Reverent / Healing',b'Slow Tempo',b'Very Slow',b'30s'
逆光,孙燕姿,Stefanie Sun,逆光,孙燕姿,治愈,4x1hB3Yg01Aq6J6q0deS9M,0.306,0.579,9,-5.831,1,0.0525,0.403,0,0.291,0.306,175.925,294027,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Slow',b'40s'
梦游,孙燕姿,Stefanie Sun,梦游,孙燕姿,怀旧/感动,0Pl5AS7PHepHoEsWIbf5Bu,0.582,0.275,10,-8.154,1,0.0357,0.883,0,0.174,0.512,129.408,188333,3,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Easygoing',b'Friendly',b'Medium Tempo',b'Medium',b'60s'
咕叽咕叽,孙燕姿,Stefanie Sun,咕叽咕叽,孙燕姿,放松/治愈,4XHwoWQIEzhZ9sM8hUXIuP,0.612,0.754,1,-4.749,1,0.22,0.238,0,0.0932,0.481,130.039,272507,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Urgent',b'Dark Pop Intensity',b'Fast Tempo',b'Fast',b'130s'
我怀念的,孙燕姿,Stefanie Sun,我怀念的,孙燕姿,伤感/治愈,7z2M7DsEjZjwXBkWG3zd21,0.434,0.391,4,-8.016,1,0.0341,0.755,0,0.109,0.283,139.972,289067,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'70s'
安宁,孙燕姿,Stefanie Sun,安宁,孙燕姿,感动/治愈,10JUaGcCrWkts9fao8vDVC,0.412,0.271,7,-10.157,0,0.0326,0.855,1.78e-06,0.115,0.242,140.828,198760,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sophisticated',b'Smoky / Romantic',b'Slow Tempo',b'Slow',b'40s'
飘着,孙燕姿,Stefanie Sun,飘着,孙燕姿,怀旧/感动/治愈,0wjbyBaYPJZjJLnLBBjbOp,0.287,0.557,0,-6.821,0,0.0349,0.473,0,0.31,0.283,99.837,249867,3,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'60s'
爱情的花样,孙燕姿,Stefanie Sun,爱情的花样,孙燕姿,感动,3z5vGWsjhjXCugao0Kdw4N,0.73,0.854,9,-4.478,0,0.0484,0.0128,0,0.0728,0.72,137.987,223333,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Urgent',b'Dark Pop Intensity',b'Fast Tempo',b'Fast',b'130s'
漩涡,孙燕姿,Stefanie Sun,漩涡,孙燕姿,感动/治愈,5dPXSGw7JVkkVCnsAsRzSi,0.476,0.493,8,-6.014,1,0.0317,0.733,0,0.266,0.171,131.893,291373,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'60s'
需要你,孙燕姿,Stefanie Sun,需要你,孙燕姿,感动/治愈,5mp2lYHXzu4FROm8ljnczg,0.319,0.454,6,-6.027,1,0.0291,0.851,0,0.136,0.318,101.098,248493,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Medium Tempo',b'Medium',b'60s'
关于,孙燕姿,Stefanie Sun,关于,孙燕姿,感动/治愈,4Sam8Nr71lwACPcgDCfMOP,0.602,0.521,0,-9.004,1,0.0387,0.825,2.36e-05,0.347,0.307,131.012,237173,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Easygoing',b'Friendly',b'Medium Tempo',b'Medium',b'60s'
Afterward,孙燕姿,Stefanie Sun,,,,24iPQd9xd6UGJ1jfdgqsbj,0.435,0.199,0,-17.259,1,0.0839,0.979,0.896,0.109,0.128,74.968,56213,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Sentimental',b'Tender / Sincere',b'Medium Tempo',b'Medium',b'70s'
完美的一天,孙燕姿,Stefanie Sun,完美的一天,孙燕姿,怀旧/治愈,0xffo4JMwElU4adpyY0x70,0.583,0.759,2,-5.431,1,0.0356,0.0495,3.03e-06,0.111,0.369,131.839,245133,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Yearning',b'Energetic Yearning',b'Medium Tempo',b'Medium',b'60s'
眼泪成诗,孙燕姿,Stefanie Sun,眼泪成诗,孙燕姿,孤独/怀旧,4ZwdG5w5j31LAll9jHvvtR,0.332,0.264,0,-11.317,1,0.0353,0.781,0,0.252,0.309,138.754,221200,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Romantic',b'Dramatic / Romantic',b'Slow Tempo',b'Very Slow',b'30s'
隐形人,孙燕姿,Stefanie Sun,隐形人,孙燕姿,安静/怀旧/治愈,2dBlFBbcfZRhPwitjOuf8u,0.481,0.451,0,-8.446,1,0.0336,0.767,0,0.106,0.239,127.814,276293,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Empowering',b'Dramatic Emotion',b'Slow Tempo',b'Very Slow',b'30s'
流浪地图,孙燕姿,Stefanie Sun,流浪地图,孙燕姿,感动/治愈,1B9u6Nu7VuoW0MOnDf3EPE,0.55,0.709,9,-3.918,1,0.0309,0.0987,0,0.108,0.285,143.925,245067,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Yearning',b'Energetic Yearning',b'Medium Tempo',b'Medium',b'70s'
第一天,孙燕姿,Stefanie Sun,第一天,孙燕姿,放松,7lI4Fggd8KZuE76MJlA54P,0.428,0.904,8,-4.042,1,0.0975,0.0371,0,0.316,0.623,176.105,253960,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Excited',b'Upbeat Pop Groove',b'Medium Tempo',b'Medium',b'80s'
Honey Honey,孙燕姿,Stefanie Sun,Honey Honey,孙燕姿,怀旧/浪漫,2uSWwqkwfPw7YPaFBXL7ge,0.531,0.59,10,-6.74,1,0.0648,0.562,0,0.0793,0.908,202.006,264133,4,b'Southeast Asia',b'Singapore',b'Female',b'Female',b'2000s',b'Pop',b'Chinese Pop',b'General Chinese Pop',b'Easygoing',b'Friendly',b'Medium Tempo',b'Medium Slow',b'50s'
